study_abv_name,root_node,input_dir,directory_model
ACTIV4a,phs002694,/local/source/phs002694/rawData/,DefaultJsonDictionaryModel
ACTIV4b,phs002710,/local/source/phs002710/rawData/,DefaultJsonDictionaryModel
AMISH,phs000956,/local/source/phs000956/rawData/,DBGAPDictionaryModel
ARIC,phs000280,/local/source/phs000280/rawData/,DBGAPDictionaryModel
ARIC,phs001211,/local/source/phs001211/rawData/,DBGAPDictionaryModel
BABYHUG,phs002415,/local/source/phs002415/rawData/,DefaultJsonDictionaryModel
BAGS,phs001143,/local/source/phs001143/rawData/,DBGAPDictionaryModel
CARDIA,phs000285,/local/source/phs000285/rawData/,DBGAPDictionaryModel
CATHGEN,phs000703,/local/source/phs000703/rawData/,DBGAPDictionaryModel
CCAF,phs000820,/local/source/phs000820/rawData/,DBGAPDictionaryModel
CCAF,phs001189,/local/source/phs001189/rawData/,DBGAPDictionaryModel
CFS,phs000284,/local/source/phs000284/rawData/,DBGAPDictionaryModel
CFS,phs000954,/local/source/phs000954/rawData/,DBGAPDictionaryModel
CHS,phs000287,/local/source/phs000287/rawData/,DBGAPDictionaryModel
CHS,phs001368,/local/source/phs001368/rawData/,DBGAPDictionaryModel
COPDGENE,phs000179,/local/source/phs000179/rawData/,DBGAPDictionaryModel
COPDGENE,phs000951,/local/source/phs000951/rawData/,DBGAPDictionaryModel
CRA,phs000988,/local/source/phs000988/rawData/,DBGAPDictionaryModel
CSSCD,phs002362,/local/source/phs002362/rawData/,DefaultJsonDictionaryModel
DHS,phs001412,/local/source/phs001412/rawData/,DBGAPDictionaryModel
ECLIPSE,phs001252,/local/source/phs001252/rawData/,DBGAPDictionaryModel
EOCOPD,phs000946,/local/source/phs000946/rawData/,DBGAPDictionaryModel
FHS,phs000007,/local/source/phs000007/rawData/,DBGAPDictionaryModel
FHS,phs000974,/local/source/phs000974/rawData/,DBGAPDictionaryModel
GALAII,phs000920,/local/source/phs000920/rawData/,DBGAPDictionaryModel
GALAII,phs001180,/local/source/phs001180/rawData/,DBGAPDictionaryModel
GENESTAR,phs001074,/local/source/phs001074/rawData/,DBGAPDictionaryModel
GENESTAR,phs001218,/local/source/phs001218/rawData/,DBGAPDictionaryModel
GENOA,phs001238,/local/source/phs001238/rawData/,DBGAPDictionaryModel
GENOA,phs001345,/local/source/phs001345/rawData/,DBGAPDictionaryModel
GENSALT,phs000784,/local/source/phs000784/rawData/,DBGAPDictionaryModel
GENSALT,phs001217,/local/source/phs001217/rawData/,DBGAPDictionaryModel
GOLDN,phs001359,/local/source/phs001359/rawData/,DBGAPDictionaryModel
HCHSSOL,phs000810,/local/source/phs000810/rawData/,DBGAPDictionaryModel
HCT_for_SCD,phs002385,/local/source/phs002385/rawData/,DefaultJsonDictionaryModel
HRMN,DCC Harmonized data set,/local/source/hrmn/rawData/,DCCHarmonizedDictionaryModel
HVH,phs000993,/local/source/phs000993/rawData/,DBGAPDictionaryModel
HVH,phs001013,/local/source/phs001013/rawData/,DBGAPDictionaryModel
HYPERGEN,phs001293,/local/source/phs001293/rawData/,DBGAPDictionaryModel
JHS,phs000286,/local/source/phs000286/rawData/,DBGAPDictionaryModel
JHS,phs000964,/local/source/phs000964/rawData/,DBGAPDictionaryModel
MAYOVTE,phs001402,/local/source/phs001402/rawData/,DBGAPDictionaryModel
MESA,phs000209,/local/source/phs000209/rawData/,DBGAPDictionaryModel
MESA,phs001416,/local/source/phs001416/rawData/,DBGAPDictionaryModel
MGHAF,phs001001,/local/source/phs001001/rawData/,DBGAPDictionaryModel
MGHAF,phs001062,/local/source/phs001062/rawData/,DBGAPDictionaryModel
MSH,phs002348,/local/source/phs002348/rawData/,DefaultJsonDictionaryModel
ORCHID,phs002299,/local/source/phs002299/rawData/,DefaultJsonDictionaryModel
PARTNERS,phs001024,/local/source/phs001024/rawData/,DBGAPDictionaryModel
PCGC,phs001194,/local/source/phs001194/rawData/,DBGAPDictionaryModel
RED_CORAL,phs002363,/local/source/phs002363/rawData/,DefaultJsonDictionaryModel
SAFHS,phs001215,/local/source/phs001215/rawData/,DBGAPDictionaryModel
SAGE,phs000921,/local/source/phs000921/rawData/,DBGAPDictionaryModel
SARCOIDOSIS,phs001207,/local/source/phs001207/rawData/,DBGAPDictionaryModel
SARP,phs000422,/local/source/phs000422/rawData/,DBGAPDictionaryModel
SAS,phs000914,/local/source/phs000914/rawData/,DBGAPDictionaryModel
SAS,phs000972,/local/source/phs000972/rawData/,DBGAPDictionaryModel
STOP-II,phs002386,/local/source/phs002386/rawData/,DefaultJsonDictionaryModel
THRV,phs001387,/local/source/phs001387/rawData/,DBGAPDictionaryModel
VAFAR,phs000997,/local/source/phs000997/rawData/,DBGAPDictionaryModel
VUAF,phs001032,/local/source/phs001032/rawData/,DBGAPDictionaryModel
Walk-PHaSST,phs002383,/local/source/phs002383/rawData/,DefaultJsonDictionaryModel
WGHS,phs001040,/local/source/phs001040/rawData/,DBGAPDictionaryModel
WHI,phs000200,/local/source/phs000200/rawData/,DBGAPDictionaryModel
WHI,phs001237,/local/source/phs001237/rawData/,DBGAPDictionaryModel
